quoteID;randomOK;part;IT;ES;EN;DE
q_thomas;0;0;;De Santo Tomas de Aquino;;
q_thomas;0;1;;Para alguien que tiene fe, no es necesaria ninguna explicación. Para aquel sin fe, no hay explicación posible.;To one who has faith, no explanation is necessary. To one without faith, no explanation is possible.;
q_Mat6:34;0;0;Dal Vangelo, secondo Matteo. ;Del Gospel, según Mateo 3:34. ;From the Gospel according to Matthew. ;Aus dem Matthäusevangelium.
q_Mat6:34;0;1;Non affannarti per il domani, perché il domani avrà già le sue inquietudini. A ciascun giorno basta la sua pena.;no se angustien por el mañana, el cual tendrá sus propios afanes. Cada día tiene ya sus problemas;Do not worry about tomorrow, for tomorrow will worry about itself. Each day has enough trouble of its own.;Darum sorgt nicht für morgen, denn der morgige Tag wird für das Seine sorgen. Es ist genug, dass jeder Tag seine eigene Plage hat.
